Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
647fac8af0f593ca59f92e6b,586ac41bac950900013de15b,AWAITING REVIEW,2023-06-06T22:00:46.644000Z,2023-06-06T22:21:12.319000Z,,2023-06-06T22:21:39.225108Z,1226,C8CDCVNZ,219,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647fae2105567fdadd9a7162,5a9dd20b4eecca0001dd9f1d,AWAITING REVIEW,2023-06-06T22:08:15.190000Z,2023-06-06T22:54:20.611000Z,,2023-06-06T22:54:21.228111Z,2766,C8CDCVNZ,950,English,40,Male,White,South Africa,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647fae2d8b35dd700e926dad,60859f820e5009a67adb3921,AWAITING REVIEW,2023-06-06T22:07:47.739000Z,2023-06-06T22:48:49.501000Z,,2023-06-06T22:48:49.913247Z,2462,C8CDCVNZ,2532,English,55,Female,White,United States,United States,United States,English,No,Full-Time
647fae53e66354ab050547f5,602adc567597b01a6d909c3b,AWAITING REVIEW,2023-06-06T22:08:21.916000Z,2023-06-06T22:52:36.700000Z,,2023-06-06T22:52:37.172337Z,2655,C8CDCVNZ,135,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
647fae7020bc2a35f3a32326,62824c37f4cc437ab86e0ae6,AWAITING REVIEW,2023-06-06T22:08:51.561000Z,2023-06-06T22:57:09.093000Z,,2023-06-06T22:57:09.608827Z,2898,C8CDCVNZ,291,"English, Hungarian",34,Female,White,Hungary,United Kingdom,Hungary,Hungarian,DATA_EXPIRED,DATA_EXPIRED
647fae7f36fdfc54096a9af1,5f54e7209fbb9686658ca1e9,AWAITING REVIEW,2023-06-06T22:09:03.564000Z,2023-06-06T22:57:10.666000Z,,2023-06-06T22:57:11.097139Z,2888,C8CDCVNZ,831,English,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647faeb2528c237f01a8c8be,63d13bc53226dd1eeb2e7a08,AWAITING REVIEW,2023-06-06T22:09:57.569000Z,2023-06-06T22:37:31.724000Z,,2023-06-06T22:37:32.127298Z,1655,C8CDCVNZ,67,English,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
647fc6da2aa7e541fb4578b8,63d842d3e9626bd5fe5c17b1,AWAITING REVIEW,2023-06-06T23:53:01.951000Z,2023-06-07T00:35:52.625000Z,,2023-06-07T00:35:53.453038Z,2571,C8CDCVNZ,550,"English, Vietnamese",DATA_EXPIRED,Male,Asian,United States,United States,United States,English,No,Unemployed (and job seeking)
647fc72bf3df0e15f5b6d5da,5fe8be5dad8fba7b047f7f7d,AWAITING REVIEW,2023-06-06T23:54:30.497000Z,2023-06-07T00:50:56.707000Z,,2023-06-07T00:50:57.417224Z,3387,C8CDCVNZ,398,"Russian, English",54,Male,White,Russian Federation,United Kingdom,United Kingdom,Russian,No,Full-Time
647fc775e8319621526a9b23,61113ad836a1f1b60f4c9389,AWAITING REVIEW,2023-06-06T23:55:37.709000Z,2023-06-07T00:33:03.235000Z,,2023-06-07T00:33:03.766583Z,2246,C8CDCVNZ,813,English,69,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
647fc827b39fe281c281c61a,63ed00457ed1419748312833,AWAITING REVIEW,2023-06-06T23:58:31.989000Z,2023-06-07T00:17:58.984000Z,,2023-06-07T00:17:59.352590Z,1167,C8CDCVNZ,118,"Farsi, English",29,Male,Asian,Afghanistan,United Kingdom,United Kingdom,Farsi,Yes,Part-Time
647fc88418d4827737d80e59,5c027a6dc776820001bd652f,AWAITING REVIEW,2023-06-07T00:00:09.009000Z,2023-06-07T00:23:15.827000Z,,2023-06-07T00:23:16.261509Z,1387,C8CDCVNZ,319,English,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6480a821e2d87b7fed766b72,5d1a22b6e476370018f4eb83,AWAITING REVIEW,2023-06-07T15:56:36.999000Z,2023-06-07T16:27:32.630000Z,,2023-06-07T16:27:33.073440Z,1856,C8CDCVNZ,967,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6480a85916ce1322009105d4,5c0ec45b05ed100001f7861e,AWAITING REVIEW,2023-06-07T15:55:10.327000Z,2023-06-07T16:24:08.974000Z,,2023-06-07T16:24:10.362105Z,1739,C8CDCVNZ,668,"English, Spanish",27,Male,Mixed,United States,United States,United States,English,No,Full-Time
6480a972d542b3b3fe8004f1,60e49deb007ba3db7bb73016,AWAITING REVIEW,2023-06-07T16:00:53.052000Z,2023-06-07T16:22:33.859000Z,,2023-06-07T16:22:34.332186Z,1301,C8CDCVNZ,529,English,24,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6480a97e494f781945e75e27,63ced18da9e0fa1f6bc14a67,AWAITING REVIEW,2023-06-07T16:00:07.227000Z,2023-06-07T16:51:42.183000Z,,2023-06-07T16:51:45.520018Z,3095,C8CDCVNZ,165,English,44,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6480ab76e5bd3acd15eb2802,6321dc4d4ca5de1d3a42c244,AWAITING REVIEW,2023-06-07T16:09:25.737000Z,2023-06-07T16:47:36.824000Z,,2023-06-07T16:47:53.890940Z,2292,C8CDCVNZ,57,English,35,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6482057c67bec13c35cb4144,5cf0ccf488abf10019fb775d,AWAITING REVIEW,2023-06-08T16:44:44.913000Z,2023-06-08T17:20:20.105000Z,,2023-06-08T17:20:20.963311Z,2136,C8CDCVNZ,304,English,21,Female,Black,New Zealand,United Kingdom,United Kingdom,English,Yes,Other
6482065719ee1431493d1be5,63468b2638625b0d3494ca6b,AWAITING REVIEW,2023-06-08T16:48:26.149000Z,2023-06-08T17:13:21.997000Z,,2023-06-08T17:13:25.593166Z,1496,C8CDCVNZ,4,English,29,Male,White,South Africa,United Kingdom,United Kingdom,English,No,Part-Time
